Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

3,9.8,155,124,6,4,6,3,2025-03-26T17:47:10.159Z
2,14.9,154,127,3,3,3,2,2025-03-26T17:50:30.604Z
1,25.3,169,128,3,2,3,3,2025-03-26T17:52:50.308Z
3,9.9,156,130,4,4,6,4,2025-03-26T17:57:05.588Z
1,21.4,124,121,3,2,3,3,2025-03-26T17:59:31.987Z
2,15.7,155,131,4,3,3,3,2025-03-26T18:02:17.782Z
1,21.2,125,123,3,2,3,3,2025-03-26T18:04:36.074Z
2,14.8,149,127,4,4,5,4,2025-03-26T18:07:43.272Z
3,10.9,173,137,6,7,6,5,2025-03-26T18:11:58.565Z
2,16.4,166,136,5,6,6,4,2025-03-26T18:15:13.786Z
1,23.9,151,128,4,5,3,3,2025-03-26T18:17:43.935Z
3,10.8,171,137,6,7,6,6,2025-03-26T18:22:14.500Z
2,15.8,159,134,7,5,6,4,2025-03-26T18:26:45.705Z
1,136,136,126,4,5,4,3,2025-03-26T18:30:07.531Z
3,10.9,174,138,7,7,7,5,2025-03-26T18:35:31.617Z
2,17.2,179,139,7,5,6,4,2025-03-26T18:40:28.698Z
3,11.1,176,141,8,7,7,6,2025-03-26T18:49:22.845Z
1,24.1,161,129,4,4,4,3,2025-03-26T18:54:44.617Z
3,12.4,198,151,8,7,7,7,2025-03-26T18:58:03.181Z
2,15.9,162,144,6,6,7,5,2025-03-26T19:02:50.439Z
1,23.2,150,133,6,5,6,6,2025-03-26T19:06:29.992Z
2,15.9,162,139,7,7,6,5,2025-03-26T19:11:49.939Z
3,11.9,189,150,9,8,8,7,2025-03-26T19:17:39.048Z
1,24,165,132,8,7,6,6,2025-03-26T19:21:32.877Z
3,11.5,183,147,9,8,8,7,2025-03-26T19:26:32.934Z
1,25.3,180,140,8,8,7,5,2025-03-26T19:30:10.853Z
2,17.1,179,142,8,8,7,6,2025-03-26T19:35:33.057Z
3,11.9,191,150,9,8,8,7,2025-03-26T19:40:25.143Z
1,27.5,214,148,8,8,7,6,2025-03-26T19:43:31.922Z
2,19,219,152,10,9,9,6,2025-03-26T19:48:05.773Z
